Organisational unit name,Type,Pure ID,End date,Organisational unit taken over by,Start date,Parent organisational units,Visibility
Internal Audit,Support Group Dept,3687,,,1 Aug 2005,University Secretarys Group,Backend - Restricted to Pure users
School of GeoSciences,School,3684,,,1 Aug 2002,College of Science and Engineering,Public - No restriction
Edinburgh Innovations Limited,Support Group Dept,3681,,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
University Sport and Exercise,Support Group Dept,3678,,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
Research Into Results Ltd,Support Group Dept,3675,,,1 Mar 2011,Corporate Services,Backend - Restricted to Pure users
EUCLID,Support Group Dept,3672,3 Aug 2011,,10 Aug 2009,University Secretarys Group,Backend - Restricted to Pure users
User Services Directorate,Support Group Dept,3669,,,10 Aug 2009,Information Services,Public - No restriction
School of Economics,School,3666,,,10 Aug 2009,"College of Arts, Humanities and Social Sciences",Public - No restriction
Digital Curation Centre,Support Group Dept,3663,,,1 Aug 2007,Information Services,Public - No restriction
EDINA,Support Group Dept,3660,,,1 Aug 2007,Information Services,Public - No restriction
Application Development and Operations,Support Group Dept,3657,,,1 Aug 2007,Information Services,Public - No restriction
Internal Units,Support Group Dept,3654,,,1 Aug 2002,Non-specific units,Backend - Restricted to Pure users
External Units,Support Group Dept,3651,,,1 Aug 2002,Non-specific units,Backend - Restricted to Pure users
Day Nursery,Support Group Dept,3648,1 Aug 2005,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
Management Information Services,Support Group Dept,3645,1 Aug 2007,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
Human Resources,Support Group Dept,3642,,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
Finance,Support Group Dept,3639,,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
Estates Department,Support Group Dept,3636,,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
Centre for Sport and Exercise,Support Group Dept,3633,1 Aug 2003,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
"Accommodation, Catering and Events",Support Group Dept,3630,,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
Corporate Services,Support Group Dept,3627,1 Aug 2003,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
Corporate Services Group,Support Group Dept,3624,,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
Bioresearch and Veterinary Services,Support Group Dept,3621,,,1 Aug 2002,Corporate Services,Backend - Restricted to Pure users
Student Services,Support Group Dept,3618,,,1 Aug 2002,University Secretarys Group,Public - No restriction
University Secretary,Support Group Dept,3615,,,1 Aug 2002,University Secretarys Group,Public - No restriction
Office of Lifelong Learning,Support Group Dept,3612,1 Aug 2005,,1 Aug 2002,College of Humanities and Social Science,Backend - Restricted to Pure users
Media and Learning Technology Service,Support Group Dept,3609,1 Aug 2007,,1 Aug 2002,Information Services,Backend - Restricted to Pure users
Library,Support Group Dept,3606,1 Aug 2007,,1 Aug 2002,Information Services,Backend - Restricted to Pure users
Computing Services,Support Group Dept,3603,1 Aug 2007,,1 Aug 2002,Information Services,Backend - Restricted to Pure users
Information Services Office,Support Group Dept,3600,1 Aug 2004,,1 Aug 2002,Information Services,Backend - Restricted to Pure users
School of Physics and Astronomy,School,3597,,,1 Aug 2002,College of Science and Engineering,Public - No restriction
School of Chemistry,School,3594,,,1 Aug 2002,College of Science and Engineering,Public - No restriction
School of Biological Sciences,School,3591,,,1 Aug 2002,College of Science and Engineering,Public - No restriction
College of Science and Engineering,College,3588,,,1 Aug 2002,University of Edinburgh,Public - No restriction
Royal (Dick) School of Veterinary Studies,School,3585,,,1 Aug 2002,College of Medicine and Veterinary Medicine,Public - No restriction
"Deanery of Molecular, Genetic and Population Health Sciences",School,3582,,,1 Aug 2002,College of Medicine and Veterinary Medicine,Public - No restriction
Deanery of Clinical Sciences,School,3579,,,1 Aug 2002,College of Medicine and Veterinary Medicine,Public - No restriction
Deanery of Biomedical Sciences,School,3576,,,1 Aug 2002,College of Medicine and Veterinary Medicine,Public - No restriction
College of Medicine and Veterinary Medicine,College,3573,,,1 Aug 2002,University of Edinburgh,Public - No restriction
School of Nursing Studies,School,3570,1 Aug 2003,,1 Aug 2002,College of Humanities and Social Science,Backend - Restricted to Pure users
Moray House School of Education and Sport,School,3567,,,1 Aug 2002,"College of Arts, Humanities and Social Sciences",Public - No restriction
School of Social and Political Science,School,3564,,,1 Aug 2002,"College of Arts, Humanities and Social Sciences",Public - No restriction
"School of Philosophy, Psychology and Language Sciences",School,3561,,,1 Aug 2002,"College of Arts, Humanities and Social Sciences",Public - No restriction
"School of Literatures, Languages and Cultures",School,3558,,,1 Aug 2002,"College of Arts, Humanities and Social Sciences",Public - No restriction
School of Law,School,3555,,,1 Aug 2002,"College of Arts, Humanities and Social Sciences",Public - No restriction
"School of History, Classics and Archaeology",School,3552,,,1 Aug 2002,"College of Arts, Humanities and Social Sciences",Public - No restriction
Business School,School,3549,,,1 Aug 2002,"College of Arts, Humanities and Social Sciences",Public - No restriction
School of Divinity,School,3546,,,1 Aug 2002,"College of Arts, Humanities and Social Sciences",Public - No restriction
Edinburgh College of Art,School,3543,,,1 Aug 2002,"College of Arts, Humanities and Social Sciences",Public - No restriction
"College of Arts, Humanities and Social Sciences",College,3540,,,1 Aug 2002,University of Edinburgh,Backend - Restricted to Pure users
Non-specific units,Support Group,3537,,,1 Aug 2002,University of Edinburgh,Backend - Restricted to Pure users
Corporate Services,Support Group,3534,,,1 Aug 2002,University of Edinburgh,Backend - Restricted to Pure users
University of Edinburgh,University,3522,,,1 Aug 2002,,Public - No restriction
Information Services,Support Group Dept,3519,1 Aug 2007,,1 Aug 2002,Information Services,Backend - Restricted to Pure users
Information Services,Support Group,3516,,,1 Aug 2002,University of Edinburgh,Public - No restriction
School of Engineering,School,3513,,,1 Aug 2002,College of Science and Engineering,Public - No restriction
School of Informatics,School,3510,,,1 Aug 2002,College of Science and Engineering,Public - No restriction
School of Mathematics,School,3507,,,1 Aug 2002,College of Science and Engineering,Public - No restriction
Edinburgh University Press,Support Group Dept,3504,,,1 Aug 2003,Corporate Services,Backend - Restricted to Pure users
Development and Alumni,Support Group Dept,3501,,,1 Feb 2004,University Secretarys Group,Backend - Restricted to Pure users
Communications and Marketing,Support Group Dept,3498,,,1 Aug 2002,University Secretarys Group,Public - No restriction
Joint Consultative and Advisory Committee on Purchasing,Support Group Dept,3495,1 Aug 2005,,1 Aug 2003,Corporate Services,Backend - Restricted to Pure users
Health and Safety,Support Group Dept,3492,,,1 Aug 2003,Corporate Services,Backend - Restricted to Pure users
EDINA,Support Group Dept,3489,1 Aug 2007,,1 Aug 2003,Information Services,Backend - Restricted to Pure users
School of Health in Social Science,School,3486,,,1 Aug 2003,"College of Arts, Humanities and Social Sciences",Public - No restriction
